algo,size,y_p1_new_edges,year,norm_new_edges
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,16,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,16,0,2015,0.0
walktrap,87,0,2015,0.0
walktrap,67,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,39,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,34,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,59,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,67,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,61,0,2015,0.0
walktrap,35,0,2015,0.0
walktrap,30,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,39,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,44,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,65,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,66,0,2015,0.0
walktrap,27,0,2015,0.0
walktrap,35,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,90,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,31,0,2015,0.0
walktrap,30,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,4,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,35,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,50,0,2015,0.0
walktrap,49,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,43,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,30,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,63,0,2015,0.0
walktrap,41,0,2015,0.0
walktrap,31,0,2015,0.0
walktrap,34,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,49,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,21,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,39,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,46,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,4,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,47,0,2015,0.0
walktrap,40,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,75,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,46,0,2015,0.0
walktrap,40,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,16,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,16,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,27,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,44,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,34,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,44,0,2015,0.0
walktrap,63,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,44,0,2015,0.0
walktrap,65,0,2015,0.0
walktrap,71,0,2015,0.0
walktrap,54,0,2015,0.0
walktrap,34,0,2015,0.0
walktrap,46,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,39,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,44,0,2015,0.0
walktrap,61,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,75,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,51,0,2015,0.0
walktrap,86,0,2015,0.0
walktrap,54,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,27,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,41,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,16,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,68,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,48,0,2015,0.0
walktrap,60,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,21,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,41,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,42,0,2015,0.0
walktrap,31,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,16,0,2015,0.0
walktrap,21,0,2015,0.0
walktrap,46,0,2015,0.0
walktrap,31,0,2015,0.0
walktrap,58,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,73,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,34,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,4,0,2015,0.0
walktrap,76,0,2015,0.0
walktrap,83,0,2015,0.0
walktrap,40,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,35,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,51,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,35,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,53,0,2015,0.0
walktrap,45,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,57,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,53,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,52,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,21,0,2015,0.0
walktrap,41,0,2015,0.0
walktrap,56,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,63,0,2015,0.0
walktrap,21,0,2015,0.0
walktrap,42,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,63,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,57,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,83,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,43,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,68,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,30,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,16,0,2015,0.0
walktrap,42,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,31,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,30,0,2015,0.0
walktrap,35,0,2015,0.0
walktrap,39,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,41,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,60,0,2015,0.0
walktrap,46,0,2015,0.0
walktrap,40,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,45,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,47,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,42,0,2015,0.0
walktrap,44,0,2015,0.0
walktrap,61,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,16,0,2015,0.0
walktrap,43,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,65,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,42,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,73,0,2015,0.0
walktrap,45,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,31,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,39,0,2015,0.0
walktrap,16,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,81,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,49,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,43,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,52,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,21,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,27,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,34,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,47,0,2015,0.0
walktrap,44,0,2015,0.0
walktrap,57,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,57,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,42,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,35,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,53,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,67,0,2015,0.0
walktrap,31,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,54,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,4,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,93,0,2015,0.0
walktrap,45,0,2015,0.0
walktrap,46,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,42,0,2015,0.0
walktrap,34,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,4,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,42,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,70,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,60,0,2015,0.0
walktrap,45,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,27,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,80,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,63,0,2015,0.0
walktrap,34,0,2015,0.0
walktrap,64,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,63,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,62,1,2015,0.004291845493562232
walktrap,9,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,54,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,30,0,2015,0.0
walktrap,73,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,71,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,4,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,41,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,30,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,42,0,2015,0.0
walktrap,50,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,21,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,4,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,4,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,27,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,21,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,27,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,30,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,48,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,43,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,63,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,60,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,40,0,2015,0.0
walktrap,33,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,30,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,27,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,46,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,16,0,2015,0.0
walktrap,27,0,2015,0.0
walktrap,86,0,2015,0.0
walktrap,16,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,21,0,2015,0.0
walktrap,31,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,43,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,67,0,2015,0.0
walktrap,21,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,43,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,58,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,21,0,2015,0.0
walktrap,68,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,31,0,2015,0.0
walktrap,49,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,31,0,2015,0.0
walktrap,53,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,35,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,52,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,41,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,22,0,2015,0.0
walktrap,46,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,21,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,66,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,24,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,30,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,60,0,2015,0.0
walktrap,61,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,86,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,4,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,44,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,36,0,2015,0.0
walktrap,72,0,2015,0.0
walktrap,58,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,61,0,2015,0.0
walktrap,34,0,2015,0.0
walktrap,11,0,2015,0.0
walktrap,35,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,12,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,62,1,2015,0.0034965034965034965
walktrap,38,0,2015,0.0
walktrap,85,0,2015,0.0
walktrap,99,0,2015,0.0
walktrap,72,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,38,0,2015,0.0
walktrap,32,0,2015,0.0
walktrap,52,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,27,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,27,0,2015,0.0
walktrap,59,0,2015,0.0
walktrap,31,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,58,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,47,0,2015,0.0
walktrap,65,0,2015,0.0
walktrap,47,0,2015,0.0
walktrap,42,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,4,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,86,0,2015,0.0
walktrap,68,0,2015,0.0
walktrap,67,0,2015,0.0
walktrap,47,0,2015,0.0
walktrap,15,0,2015,0.0
walktrap,45,0,2015,0.0
walktrap,83,0,2015,0.0
walktrap,43,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,6,0,2015,0.0
walktrap,10,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,52,0,2015,0.0
walktrap,37,0,2015,0.0
walktrap,29,0,2015,0.0
walktrap,51,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,5,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,55,0,2015,0.0
walktrap,49,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,18,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,20,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,75,0,2015,0.0
walktrap,31,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,78,0,2015,0.0
walktrap,23,0,2015,0.0
walktrap,25,0,2015,0.0
walktrap,41,0,2015,0.0
walktrap,16,0,2015,0.0
walktrap,40,0,2015,0.0
walktrap,19,0,2015,0.0
walktrap,9,0,2015,0.0
walktrap,26,0,2015,0.0
walktrap,7,0,2015,0.0
walktrap,35,0,2015,0.0
walktrap,17,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,8,0,2015,0.0
walktrap,2,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,14,0,2015,0.0
walktrap,13,0,2015,0.0
walktrap,3,0,2015,0.0
walktrap,1,0,2015,0.0
walktrap,85,0,2015,0.0
walktrap,28,0,2015,0.0
walktrap,11,0,2015,0.0
