algo,size,new_edges,year
walktrap,13,0,2015
walktrap,13,0,2015
walktrap,27,0,2015
walktrap,92,0,2015
walktrap,23,0,2015
walktrap,18,0,2015
walktrap,20,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,19,0,2015
walktrap,31,0,2015
walktrap,11,0,2015
walktrap,4,0,2015
walktrap,7,0,2015
walktrap,18,0,2015
walktrap,47,0,2015
walktrap,37,0,2015
walktrap,77,0,2015
walktrap,75,0,2015
walktrap,53,0,2015
walktrap,32,0,2015
walktrap,29,0,2015
walktrap,50,0,2015
walktrap,19,0,2015
walktrap,17,0,2015
walktrap,8,0,2015
walktrap,22,0,2015
walktrap,13,0,2015
walktrap,45,0,2015
walktrap,22,0,2015
walktrap,15,0,2015
walktrap,23,4,2015
walktrap,12,0,2015
walktrap,4,0,2015
walktrap,18,0,2015
walktrap,41,0,2015
walktrap,15,0,2015
walktrap,11,0,2015
walktrap,36,0,2015
walktrap,50,1,2015
walktrap,21,0,2015
walktrap,26,0,2015
walktrap,37,0,2015
walktrap,16,0,2015
walktrap,41,0,2015
walktrap,21,0,2015
walktrap,16,0,2015
walktrap,16,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,34,0,2015
walktrap,39,0,2015
walktrap,26,0,2015
walktrap,16,0,2015
walktrap,53,1,2015
walktrap,17,0,2015
walktrap,8,0,2015
walktrap,12,0,2015
walktrap,23,0,2015
walktrap,52,5,2015
walktrap,33,0,2015
walktrap,20,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,4,0,2015
walktrap,8,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,69,0,2015
walktrap,14,0,2015
walktrap,24,0,2015
walktrap,28,0,2015
walktrap,17,0,2015
walktrap,28,0,2015
walktrap,10,0,2015
walktrap,24,0,2015
walktrap,24,0,2015
walktrap,25,0,2015
walktrap,60,0,2015
walktrap,23,0,2015
walktrap,64,0,2015
walktrap,14,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,39,0,2015
walktrap,9,0,2015
walktrap,17,0,2015
walktrap,74,0,2015
walktrap,39,0,2015
walktrap,57,0,2015
walktrap,33,4,2015
walktrap,25,0,2015
walktrap,32,0,2015
walktrap,47,0,2015
walktrap,13,0,2015
walktrap,5,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,78,0,2015
walktrap,66,0,2015
walktrap,39,0,2015
walktrap,12,0,2015
walktrap,17,0,2015
walktrap,11,0,2015
walktrap,6,0,2015
walktrap,3,0,2015
walktrap,18,0,2015
walktrap,11,0,2015
walktrap,25,0,2015
walktrap,31,0,2015
walktrap,52,0,2015
walktrap,19,0,2015
walktrap,2,0,2015
walktrap,6,0,2015
walktrap,40,0,2015
walktrap,67,0,2015
walktrap,17,0,2015
walktrap,16,0,2015
walktrap,14,0,2015
walktrap,11,0,2015
walktrap,49,0,2015
walktrap,22,0,2015
walktrap,41,0,2015
walktrap,23,0,2015
walktrap,22,0,2015
walktrap,16,0,2015
walktrap,11,0,2015
walktrap,2,0,2015
walktrap,21,0,2015
walktrap,20,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,50,0,2015
walktrap,19,0,2015
walktrap,18,0,2015
walktrap,26,0,2015
walktrap,98,0,2015
walktrap,21,0,2015
walktrap,38,0,2015
walktrap,18,0,2015
walktrap,30,0,2015
walktrap,23,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,15,0,2015
walktrap,12,0,2015
walktrap,2,0,2015
walktrap,3,0,2015
walktrap,35,0,2015
walktrap,22,0,2015
walktrap,25,0,2015
walktrap,14,0,2015
walktrap,21,0,2015
walktrap,73,0,2015
walktrap,15,0,2015
walktrap,17,0,2015
walktrap,17,0,2015
walktrap,14,0,2015
walktrap,63,0,2015
walktrap,16,0,2015
walktrap,31,0,2015
walktrap,17,0,2015
walktrap,43,0,2015
walktrap,10,0,2015
walktrap,21,0,2015
walktrap,1,0,2015
walktrap,29,0,2015
walktrap,21,0,2015
walktrap,59,0,2015
walktrap,37,0,2015
walktrap,41,0,2015
walktrap,16,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,6,0,2015
walktrap,1,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,67,0,2015
walktrap,15,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,17,0,2015
walktrap,9,0,2015
walktrap,14,0,2015
walktrap,24,0,2015
walktrap,39,0,2015
walktrap,10,0,2015
walktrap,12,0,2015
walktrap,42,12,2015
walktrap,29,0,2015
walktrap,30,0,2015
walktrap,36,0,2015
walktrap,16,0,2015
walktrap,47,0,2015
walktrap,21,0,2015
walktrap,21,0,2015
walktrap,77,0,2015
walktrap,15,0,2015
walktrap,24,0,2015
walktrap,6,0,2015
walktrap,1,0,2015
walktrap,3,0,2015
walktrap,5,0,2015
walktrap,35,0,2015
walktrap,41,0,2015
walktrap,36,0,2015
walktrap,38,0,2015
walktrap,17,0,2015
walktrap,14,0,2015
walktrap,12,0,2015
walktrap,11,0,2015
walktrap,41,0,2015
walktrap,17,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,40,0,2015
walktrap,20,0,2015
walktrap,13,0,2015
walktrap,45,0,2015
walktrap,8,0,2015
walktrap,1,0,2015
walktrap,17,0,2015
walktrap,23,0,2015
walktrap,24,0,2015
walktrap,20,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,15,0,2015
walktrap,9,0,2015
walktrap,56,0,2015
walktrap,13,0,2015
walktrap,27,0,2015
walktrap,35,0,2015
walktrap,33,0,2015
walktrap,15,0,2015
walktrap,26,0,2015
walktrap,10,0,2015
walktrap,37,0,2015
walktrap,44,0,2015
walktrap,5,0,2015
walktrap,2,0,2015
walktrap,60,0,2015
walktrap,16,0,2015
walktrap,24,0,2015
walktrap,8,0,2015
walktrap,43,0,2015
walktrap,75,0,2015
walktrap,24,0,2015
walktrap,36,0,2015
walktrap,4,0,2015
walktrap,1,0,2015
walktrap,23,3,2015
walktrap,22,0,2015
walktrap,17,0,2015
walktrap,59,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,35,0,2015
walktrap,58,0,2015
walktrap,37,0,2015
walktrap,19,0,2015
walktrap,35,0,2015
walktrap,50,0,2015
walktrap,70,0,2015
walktrap,44,0,2015
walktrap,36,0,2015
walktrap,10,0,2015
walktrap,32,0,2015
walktrap,14,0,2015
walktrap,36,0,2015
walktrap,13,0,2015
walktrap,7,0,2015
walktrap,1,0,2015
walktrap,48,0,2015
walktrap,38,0,2015
walktrap,10,0,2015
walktrap,3,0,2015
walktrap,37,0,2015
walktrap,15,0,2015
walktrap,91,0,2015
walktrap,31,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,16,0,2015
walktrap,14,0,2015
walktrap,70,0,2015
walktrap,72,0,2015
walktrap,19,0,2015
walktrap,54,0,2015
walktrap,38,0,2015
walktrap,16,0,2015
walktrap,57,0,2015
walktrap,45,0,2015
walktrap,10,0,2015
walktrap,18,0,2015
walktrap,48,0,2015
walktrap,47,0,2015
walktrap,26,0,2015
walktrap,11,0,2015
walktrap,32,0,2015
walktrap,9,0,2015
walktrap,12,0,2015
walktrap,25,0,2015
walktrap,29,0,2015
walktrap,16,0,2015
walktrap,18,0,2015
walktrap,33,0,2015
walktrap,30,0,2015
walktrap,74,0,2015
walktrap,4,0,2015
walktrap,1,0,2015
walktrap,8,0,2015
walktrap,8,0,2015
walktrap,9,0,2015
walktrap,5,0,2015
walktrap,38,0,2015
walktrap,20,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,35,0,2015
walktrap,24,0,2015
walktrap,66,0,2015
walktrap,38,0,2015
walktrap,6,0,2015
walktrap,1,0,2015
walktrap,27,0,2015
walktrap,42,0,2015
walktrap,4,0,2015
walktrap,5,0,2015
walktrap,76,1,2015
walktrap,12,0,2015
walktrap,28,0,2015
walktrap,63,0,2015
walktrap,17,0,2015
walktrap,15,0,2015
walktrap,9,0,2015
walktrap,1,0,2015
walktrap,13,0,2015
walktrap,1,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,25,0,2015
walktrap,12,0,2015
walktrap,19,0,2015
walktrap,12,0,2015
walktrap,40,0,2015
walktrap,39,0,2015
walktrap,8,0,2015
walktrap,1,0,2015
walktrap,5,0,2015
walktrap,13,0,2015
walktrap,5,0,2015
walktrap,11,0,2015
walktrap,30,0,2015
walktrap,14,0,2015
walktrap,9,1,2015
walktrap,2,0,2015
walktrap,22,0,2015
walktrap,15,0,2015
walktrap,27,0,2015
walktrap,36,0,2015
walktrap,39,0,2015
walktrap,13,0,2015
walktrap,64,0,2015
walktrap,16,0,2015
walktrap,26,0,2015
walktrap,18,0,2015
walktrap,10,0,2015
walktrap,13,0,2015
walktrap,49,0,2015
walktrap,32,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,35,0,2015
walktrap,64,0,2015
walktrap,10,0,2015
walktrap,5,0,2015
walktrap,35,0,2015
walktrap,35,0,2015
walktrap,38,0,2015
walktrap,32,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,48,2,2015
walktrap,35,0,2015
walktrap,27,0,2015
walktrap,38,0,2015
walktrap,43,0,2015
walktrap,19,0,2015
walktrap,81,0,2015
walktrap,41,0,2015
walktrap,23,0,2015
walktrap,62,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,10,0,2015
walktrap,11,0,2015
walktrap,4,0,2015
walktrap,1,0,2015
walktrap,22,0,2015
walktrap,15,0,2015
walktrap,6,0,2015
walktrap,1,0,2015
walktrap,12,0,2015
walktrap,57,0,2015
walktrap,17,0,2015
walktrap,23,0,2015
walktrap,49,2,2015
walktrap,13,0,2015
walktrap,58,0,2015
walktrap,17,0,2015
walktrap,18,0,2015
walktrap,19,0,2015
walktrap,45,0,2015
walktrap,37,0,2015
walktrap,52,0,2015
walktrap,50,0,2015
walktrap,53,0,2015
walktrap,35,0,2015
walktrap,29,0,2015
walktrap,16,0,2015
walktrap,17,0,2015
walktrap,4,0,2015
walktrap,5,0,2015
walktrap,2,0,2015
walktrap,65,0,2015
walktrap,34,0,2015
walktrap,7,0,2015
walktrap,33,0,2015
walktrap,35,0,2015
walktrap,20,0,2015
walktrap,61,0,2015
walktrap,6,0,2015
walktrap,25,0,2015
walktrap,25,0,2015
walktrap,60,0,2015
walktrap,30,0,2015
walktrap,13,0,2015
walktrap,41,0,2015
walktrap,12,0,2015
walktrap,63,0,2015
walktrap,77,0,2015
walktrap,16,0,2015
walktrap,69,0,2015
walktrap,26,0,2015
walktrap,56,0,2015
walktrap,16,0,2015
walktrap,6,0,2015
walktrap,2,0,2015
walktrap,34,0,2015
walktrap,31,0,2015
walktrap,37,0,2015
walktrap,16,0,2015
walktrap,4,0,2015
walktrap,1,0,2015
walktrap,29,0,2015
walktrap,14,0,2015
walktrap,87,0,2015
walktrap,35,0,2015
walktrap,31,0,2015
walktrap,18,0,2015
walktrap,2,0,2015
walktrap,5,0,2015
walktrap,16,0,2015
walktrap,74,0,2015
walktrap,6,0,2015
walktrap,3,0,2015
walktrap,51,0,2015
walktrap,43,0,2015
walktrap,35,0,2015
walktrap,19,0,2015
walktrap,50,0,2015
walktrap,35,0,2015
walktrap,6,0,2015
walktrap,21,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,14,0,2015
walktrap,12,0,2015
walktrap,17,0,2015
walktrap,9,0,2015
walktrap,40,0,2015
walktrap,16,0,2015
walktrap,59,0,2015
walktrap,41,0,2015
walktrap,24,0,2015
walktrap,23,0,2015
walktrap,6,0,2015
walktrap,1,0,2015
walktrap,33,0,2015
walktrap,20,0,2015
walktrap,47,0,2015
walktrap,27,0,2015
walktrap,55,0,2015
walktrap,14,0,2015
walktrap,35,0,2015
walktrap,53,0,2015
walktrap,24,0,2015
walktrap,45,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,4,0,2015
walktrap,4,0,2015
walktrap,15,0,2015
walktrap,36,0,2015
walktrap,30,0,2015
walktrap,20,0,2015
walktrap,59,0,2015
walktrap,58,0,2015
walktrap,33,0,2015
walktrap,37,0,2015
walktrap,7,0,2015
walktrap,16,3,2015
walktrap,8,0,2015
walktrap,1,0,2015
walktrap,20,0,2015
walktrap,26,0,2015
walktrap,36,0,2015
walktrap,41,0,2015
walktrap,24,0,2015
walktrap,53,0,2015
walktrap,13,0,2015
walktrap,25,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,4,0,2015
walktrap,1,0,2015
walktrap,12,0,2015
walktrap,39,0,2015
walktrap,23,0,2015
walktrap,19,0,2015
walktrap,32,0,2015
walktrap,10,0,2015
walktrap,47,0,2015
walktrap,42,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,22,0,2015
walktrap,29,0,2015
walktrap,52,0,2015
walktrap,57,0,2015
walktrap,32,0,2015
walktrap,19,0,2015
walktrap,9,0,2015
walktrap,15,0,2015
walktrap,25,2,2015
walktrap,12,0,2015
walktrap,31,0,2015
walktrap,15,0,2015
walktrap,29,0,2015
walktrap,30,0,2015
walktrap,27,0,2015
walktrap,43,0,2015
walktrap,34,0,2015
walktrap,12,0,2015
walktrap,4,0,2015
walktrap,1,0,2015
walktrap,84,0,2015
walktrap,8,0,2015
walktrap,3,0,2015
walktrap,5,0,2015
walktrap,35,0,2015
walktrap,33,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,49,0,2015
walktrap,44,0,2015
walktrap,43,0,2015
walktrap,22,0,2015
walktrap,75,0,2015
walktrap,14,0,2015
walktrap,15,0,2015
walktrap,18,0,2015
walktrap,24,0,2015
walktrap,23,0,2015
walktrap,25,0,2015
walktrap,33,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,31,0,2015
walktrap,23,0,2015
walktrap,47,0,2015
walktrap,27,0,2015
walktrap,15,0,2015
walktrap,21,0,2015
walktrap,88,0,2015
walktrap,61,0,2015
walktrap,5,0,2015
walktrap,20,0,2015
walktrap,41,0,2015
walktrap,25,0,2015
walktrap,51,0,2015
walktrap,25,0,2015
walktrap,40,0,2015
walktrap,33,0,2015
walktrap,4,0,2015
walktrap,2,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,28,0,2015
walktrap,41,0,2015
walktrap,25,0,2015
walktrap,13,0,2015
walktrap,27,0,2015
walktrap,24,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,2,0,2015
walktrap,3,0,2015
walktrap,8,0,2015
walktrap,2,0,2015
walktrap,42,0,2015
walktrap,23,0,2015
walktrap,50,0,2015
walktrap,38,0,2015
walktrap,30,0,2015
walktrap,3,0,2015
walktrap,55,0,2015
walktrap,22,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,52,0,2015
walktrap,72,0,2015
walktrap,65,0,2015
walktrap,30,0,2015
walktrap,17,0,2015
walktrap,16,0,2015
walktrap,28,0,2015
walktrap,21,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,24,0,2015
walktrap,31,0,2015
walktrap,24,0,2015
walktrap,32,0,2015
walktrap,41,0,2015
walktrap,44,0,2015
walktrap,32,0,2015
walktrap,5,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,36,0,2015
walktrap,40,0,2015
walktrap,30,0,2015
walktrap,4,0,2015
walktrap,14,0,2015
walktrap,41,0,2015
walktrap,24,0,2015
walktrap,19,0,2015
walktrap,7,0,2015
walktrap,9,0,2015
walktrap,6,0,2015
walktrap,1,0,2015
walktrap,40,0,2015
walktrap,40,0,2015
walktrap,2,0,2015
walktrap,2,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,77,0,2015
walktrap,13,0,2015
walktrap,32,3,2015
walktrap,10,0,2015
walktrap,20,0,2015
walktrap,11,0,2015
walktrap,16,0,2015
walktrap,14,0,2015
walktrap,17,0,2015
walktrap,43,0,2015
walktrap,6,0,2015
walktrap,53,0,2015
walktrap,18,0,2015
walktrap,19,0,2015
walktrap,32,0,2015
walktrap,19,0,2015
walktrap,73,0,2015
walktrap,59,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,13,0,2015
walktrap,12,0,2015
walktrap,31,0,2015
walktrap,13,0,2015
walktrap,6,0,2015
walktrap,36,0,2015
walktrap,4,0,2015
walktrap,1,0,2015
walktrap,7,0,2015
walktrap,1,0,2015
walktrap,51,0,2015
walktrap,14,0,2015
walktrap,12,0,2015
walktrap,32,0,2015
walktrap,45,0,2015
walktrap,8,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,70,0,2015
walktrap,38,0,2015
walktrap,33,0,2015
walktrap,45,0,2015
walktrap,35,0,2015
walktrap,61,0,2015
walktrap,20,0,2015
walktrap,3,0,2015
walktrap,32,0,2015
walktrap,30,0,2015
walktrap,56,0,2015
walktrap,10,0,2015
walktrap,17,0,2015
walktrap,4,0,2015
walktrap,78,0,2015
walktrap,18,0,2015
walktrap,28,0,2015
walktrap,31,0,2015
walktrap,11,0,2015
walktrap,17,0,2015
walktrap,33,0,2015
walktrap,15,0,2015
walktrap,14,0,2015
walktrap,7,0,2015
walktrap,27,0,2015
walktrap,31,0,2015
walktrap,53,0,2015
walktrap,26,0,2015
walktrap,22,0,2015
walktrap,13,0,2015
walktrap,18,0,2015
walktrap,12,1,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,9,0,2015
walktrap,41,0,2015
walktrap,19,0,2015
walktrap,16,0,2015
walktrap,34,0,2015
walktrap,15,0,2015
walktrap,56,0,2015
walktrap,34,0,2015
walktrap,44,0,2015
walktrap,24,0,2015
walktrap,39,0,2015
walktrap,19,0,2015
walktrap,13,0,2015
walktrap,45,0,2015
walktrap,14,0,2015
walktrap,22,0,2015
walktrap,66,0,2015
walktrap,39,0,2015
walktrap,52,0,2015
walktrap,33,0,2015
walktrap,17,0,2015
walktrap,4,0,2015
walktrap,32,0,2015
walktrap,25,0,2015
walktrap,15,0,2015
walktrap,45,0,2015
walktrap,73,0,2015
walktrap,57,0,2015
walktrap,18,0,2015
walktrap,17,0,2015
walktrap,21,0,2015
walktrap,13,0,2015
walktrap,11,0,2015
walktrap,8,0,2015
walktrap,9,0,2015
walktrap,1,0,2015
walktrap,30,0,2015
walktrap,17,0,2015
walktrap,10,0,2015
walktrap,16,0,2015
walktrap,45,0,2015
walktrap,51,0,2015
walktrap,14,0,2015
walktrap,45,0,2015
walktrap,3,0,2015
walktrap,2,0,2015
walktrap,84,0,2015
walktrap,32,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,62,0,2015
walktrap,23,0,2015
walktrap,40,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,10,3,2015
walktrap,4,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,74,0,2015
walktrap,28,0,2015
walktrap,12,0,2015
walktrap,14,0,2015
walktrap,89,0,2015
walktrap,75,0,2015
walktrap,37,0,2015
walktrap,18,0,2015
walktrap,21,0,2015
walktrap,38,0,2015
walktrap,21,0,2015
walktrap,29,0,2015
walktrap,68,0,2015
walktrap,42,0,2015
walktrap,31,0,2015
walktrap,23,0,2015
walktrap,37,0,2015
walktrap,20,0,2015
walktrap,26,0,2015
walktrap,42,0,2015
walktrap,8,0,2015
walktrap,22,0,2015
walktrap,55,0,2015
walktrap,5,0,2015
walktrap,5,0,2015
walktrap,4,0,2015
walktrap,43,0,2015
walktrap,47,0,2015
walktrap,9,0,2015
walktrap,44,0,2015
walktrap,25,0,2015
walktrap,19,0,2015
walktrap,22,0,2015
walktrap,10,0,2015
walktrap,32,0,2015
walktrap,28,0,2015
walktrap,25,0,2015
walktrap,16,0,2015
walktrap,31,0,2015
walktrap,35,0,2015
walktrap,17,0,2015
walktrap,15,0,2015
walktrap,44,0,2015
walktrap,32,0,2015
walktrap,52,0,2015
walktrap,37,0,2015
walktrap,38,0,2015
walktrap,46,0,2015
walktrap,29,0,2015
walktrap,21,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,7,0,2015
walktrap,6,0,2015
walktrap,73,0,2015
walktrap,16,0,2015
walktrap,29,0,2015
walktrap,20,0,2015
walktrap,11,0,2015
walktrap,43,0,2015
walktrap,30,0,2015
walktrap,48,0,2015
walktrap,11,0,2015
walktrap,23,0,2015
walktrap,35,0,2015
walktrap,18,0,2015
walktrap,71,0,2015
walktrap,32,0,2015
walktrap,25,0,2015
walktrap,70,0,2015
walktrap,7,0,2015
walktrap,21,0,2015
walktrap,11,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,54,0,2015
walktrap,25,0,2015
walktrap,39,0,2015
walktrap,16,0,2015
walktrap,4,0,2015
walktrap,1,0,2015
walktrap,45,0,2015
walktrap,38,0,2015
walktrap,32,0,2015
walktrap,21,0,2015
walktrap,11,0,2015
walktrap,5,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,20,0,2015
walktrap,18,0,2015
walktrap,28,0,2015
walktrap,45,0,2015
walktrap,19,0,2015
walktrap,10,0,2015
walktrap,67,0,2015
walktrap,40,0,2015
walktrap,32,0,2015
walktrap,29,0,2015
walktrap,13,0,2015
walktrap,15,0,2015
walktrap,19,0,2015
walktrap,12,0,2015
walktrap,52,0,2015
walktrap,44,0,2015
walktrap,52,0,2015
walktrap,13,0,2015
walktrap,39,0,2015
walktrap,40,0,2015
walktrap,38,0,2015
walktrap,35,0,2015
walktrap,52,0,2015
walktrap,14,0,2015
walktrap,41,0,2015
walktrap,44,0,2015
walktrap,26,2,2015
walktrap,18,0,2015
walktrap,33,0,2015
walktrap,33,0,2015
walktrap,53,0,2015
walktrap,30,0,2015
walktrap,35,0,2015
walktrap,58,0,2015
walktrap,27,0,2015
walktrap,7,0,2015
walktrap,4,0,2015
walktrap,2,0,2015
walktrap,55,0,2015
walktrap,19,0,2015
walktrap,64,0,2015
walktrap,22,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,7,0,2015
walktrap,2,0,2015
walktrap,8,0,2015
walktrap,1,0,2015
walktrap,51,0,2015
walktrap,54,0,2015
walktrap,22,0,2015
walktrap,28,0,2015
walktrap,55,0,2015
walktrap,10,0,2015
walktrap,4,0,2015
walktrap,1,0,2015
walktrap,13,0,2015
walktrap,13,0,2015
walktrap,30,0,2015
walktrap,17,0,2015
walktrap,69,0,2015
walktrap,8,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,42,0,2015
walktrap,60,0,2015
walktrap,37,0,2015
walktrap,17,0,2015
walktrap,18,0,2015
walktrap,30,0,2015
walktrap,41,0,2015
walktrap,40,0,2015
walktrap,10,0,2015
walktrap,14,0,2015
walktrap,32,0,2015
walktrap,8,0,2015
walktrap,56,0,2015
walktrap,15,0,2015
walktrap,10,0,2015
walktrap,23,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,45,0,2015
walktrap,56,0,2015
walktrap,51,0,2015
walktrap,37,0,2015
walktrap,81,0,2015
walktrap,72,0,2015
walktrap,11,0,2015
walktrap,17,0,2015
walktrap,51,0,2015
walktrap,23,2,2015
walktrap,16,0,2015
walktrap,1,0,2015
walktrap,12,0,2015
walktrap,12,0,2015
walktrap,59,0,2015
walktrap,16,0,2015
walktrap,19,0,2015
walktrap,16,0,2015
walktrap,33,0,2015
walktrap,48,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,26,0,2015
walktrap,27,0,2015
walktrap,28,0,2015
walktrap,12,0,2015
walktrap,14,0,2015
walktrap,22,0,2015
walktrap,37,0,2015
walktrap,58,0,2015
walktrap,31,0,2015
walktrap,13,0,2015
walktrap,59,0,2015
walktrap,23,0,2015
walktrap,31,0,2015
walktrap,17,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,24,0,2015
walktrap,28,0,2015
walktrap,85,0,2015
walktrap,27,0,2015
walktrap,8,0,2015
walktrap,11,0,2015
walktrap,10,0,2015
walktrap,6,0,2015
walktrap,11,0,2015
walktrap,13,0,2015
walktrap,28,0,2015
walktrap,18,0,2015
walktrap,4,0,2015
walktrap,1,0,2015
walktrap,61,0,2015
walktrap,6,0,2015
walktrap,68,0,2015
walktrap,26,0,2015
walktrap,44,0,2015
walktrap,38,0,2015
walktrap,6,0,2015
walktrap,3,0,2015
walktrap,40,0,2015
walktrap,12,0,2015
walktrap,42,0,2015
walktrap,28,0,2015
walktrap,21,0,2015
walktrap,20,0,2015
walktrap,24,0,2015
walktrap,20,0,2015
walktrap,94,0,2015
walktrap,24,0,2015
walktrap,18,0,2015
walktrap,14,0,2015
walktrap,41,0,2015
walktrap,4,0,2015
walktrap,2,0,2015
walktrap,8,1,2015
walktrap,15,1,2015
walktrap,9,0,2015
walktrap,1,0,2015
walktrap,31,0,2015
walktrap,39,0,2015
walktrap,71,0,2015
walktrap,9,0,2015
walktrap,23,0,2015
walktrap,22,0,2015
walktrap,20,0,2015
walktrap,25,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,11,0,2015
walktrap,8,0,2015
walktrap,7,0,2015
walktrap,15,0,2015
walktrap,43,0,2015
walktrap,43,0,2015
walktrap,9,0,2015
walktrap,3,0,2015
walktrap,44,0,2015
walktrap,71,0,2015
walktrap,20,0,2015
walktrap,19,0,2015
walktrap,54,0,2015
walktrap,35,0,2015
walktrap,32,0,2015
walktrap,46,0,2015
walktrap,19,0,2015
walktrap,29,0,2015
walktrap,44,0,2015
walktrap,14,0,2015
walktrap,57,0,2015
walktrap,39,0,2015
walktrap,14,0,2015
walktrap,18,0,2015
walktrap,31,0,2015
walktrap,34,0,2015
walktrap,84,0,2015
walktrap,12,0,2015
walktrap,23,0,2015
walktrap,14,0,2015
walktrap,18,2,2015
walktrap,3,0,2015
walktrap,18,0,2015
walktrap,25,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,45,0,2015
walktrap,11,0,2015
walktrap,42,0,2015
walktrap,39,0,2015
walktrap,49,0,2015
walktrap,30,0,2015
walktrap,17,0,2015
walktrap,3,0,2015
walktrap,48,0,2015
walktrap,31,0,2015
walktrap,10,0,2015
walktrap,7,0,2015
walktrap,79,5,2015
walktrap,15,0,2015
walktrap,35,0,2015
walktrap,34,0,2015
walktrap,26,0,2015
walktrap,10,0,2015
walktrap,6,0,2015
walktrap,1,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,24,10,2015
walktrap,17,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,34,0,2015
walktrap,27,0,2015
walktrap,6,0,2015
walktrap,2,0,2015
walktrap,18,0,2015
walktrap,8,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,36,0,2015
walktrap,69,0,2015
walktrap,45,0,2015
walktrap,52,0,2015
walktrap,34,0,2015
walktrap,16,0,2015
walktrap,5,0,2015
walktrap,1,0,2015
walktrap,2,0,2015
walktrap,1,0,2015
walktrap,3,0,2015
walktrap,1,0,2015
walktrap,39,0,2015
walktrap,21,0,2015
walktrap,47,0,2015
walktrap,18,0,2015
walktrap,15,0,2015
walktrap,12,0,2015
walktrap,7,0,2015
walktrap,1,0,2015
walktrap,49,0,2015
walktrap,34,0,2015
walktrap,33,0,2015
walktrap,29,0,2015
walktrap,11,0,2015
walktrap,25,0,2015
walktrap,34,0,2015
walktrap,16,0,2015
walktrap,57,0,2015
walktrap,21,0,2015
walktrap,4,0,2015
walktrap,1,0,2015
